,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
4065,852378401252879440,"Beechwood, 71 Beech Street",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.10768,153.43089,Entire home,Entire home/apt,8,2.0,2 baths,3.0,6.0,$188.00,3,1125,3,3,3,1125,3.0,1074.4,t,0,17,24,24,4,3,1,4.25,4.25,4.25,4.5,5.0,4.5,4.5,t,27,27,0
4066,852378406657982250,"Holiday Haven, 7/30-32 Cypress Street, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.1177,153.42768,Entire villa,Entire home/apt,7,2.5,2.5 baths,3.0,4.0,$188.00,3,1125,3,11,3,1125,3.3,500.7,t,0,16,46,291,4,2,0,3.75,4.0,3.5,4.75,4.75,4.75,3.75,t,27,27,0
4067,852378420698785277,"Pacific Palms 1, 1/9-11 Terrace Street, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.10466,153.43014,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,$125.00,3,1125,3,12,4,1125,3.4,519.8,t,3,15,45,312,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,27,27,0
4068,852378426456496442,"Pacific Palms 3, 3/9-11 Terrace Street, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.10297,153.43214,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,5.0,$125.00,3,1125,3,12,23,1125,3.4,475.5,t,4,34,64,329,0,0,0,,,,,,,,t,27,27,0
4069,852378451110538065,"No 1 - Water's Edge, 1 McDonald Place, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.12038,153.43266,Entire home,Entire home/apt,8,2.0,2 baths,4.0,6.0,$625.00,3,1125,3,11,3,1125,3.4,565.2,t,0,16,32,289,0,0,0,,,,,,,,t,27,27,0
4070,852378486676678366,"Ocean Mist, 4 Ocean Street, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.10128,153.43149,Entire home,Entire home/apt,10,2.0,2 baths,4.0,5.0,$269.00,3,1125,3,11,3,1125,3.1,765.9,t,1,9,22,177,4,2,0,4.75,4.5,4.0,5.0,4.75,5.0,4.5,t,27,27,0
4071,852378502060715173,"Selah, 36 Woodburn Street, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.11801,153.43138,Entire home,Entire home/apt,8,2.0,2 baths,0.0,6.0,$188.00,3,1125,3,7,3,1125,3.0,1112.4,t,4,20,24,24,2,2,0,4.5,4.5,5.0,5.0,4.0,4.5,4.0,t,27,27,0
4072,852378508706222898,"The Sea Ranch 2, 2/45 Beech Street, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.10967,153.42967,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,$94.00,3,1125,3,11,3,1125,3.4,540.4,t,11,34,59,327,5,2,0,4.6,4.4,4.6,4.4,4.6,4.6,4.6,t,27,27,0
4073,852378516393307925,"Whispering Pines, 3/10 Poplar Lane, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.11693,153.43011,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,$125.00,3,1125,3,11,3,1125,3.1,708.9,t,7,27,57,233,0,0,0,,,,,,,,t,27,27,0
4074,852378544539506407,"Wonders, 1 Currajong Street, Evans Head",506489569,Elders,2023-03-21,within an hour,100%,100%,f,27,t,RICHMOND VALLEY COUNCIL,,-29.10516,153.43122,Entire home,Entire home/apt,8,2.0,2 baths,0.0,6.0,$188.00,3,1125,3,11,3,1125,3.2,586.0,t,0,16,42,287,7,6,0,4.86,4.86,4.71,5.0,4.86,4.86,4.86,t,27,27,0
